Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
2 All Feature - Positive,,,,14-02-2024 00:34:35,14-02-2024 00:39:42,5m - 6.892s,PASSED
,,,,,,,
Test Cases/1 Positive Test Case/3 Search Item - Data Driven,,,,14-02-2024 00:34:35,14-02-2024 00:35:36,1m - 0.771s,PASSED
"startApplication(""E:\BFLP IT Batch 9\9. Bootcamp\3. Final Project Mobile\Advantage+demo+3.2.apk"", true)",,,,14-02-2024 00:34:36,14-02-2024 00:35:09,32.850s,PASSED
"tap(findTestObject(""Object Repository/2 Login dan Checkout/android.widget.ImageView""), 0)",,,,14-02-2024 00:35:09,14-02-2024 00:35:10,1.569s,PASSED
"tap(findTestObject(""Object Repository/2 Login dan Checkout/android.widget.LinearLayout""), 0)",,,,14-02-2024 00:35:10,14-02-2024 00:35:12,1.157s,PASSED
"setText(findTestObject(""Object Repository/2 Login dan Checkout/android.widget.EditText""), ""yudhatesting"", 0)",,,,14-02-2024 00:35:12,14-02-2024 00:35:15,3.642s,PASSED
"setText(findTestObject(""Object Repository/2 Login dan Checkout/android.widget.EditText (1)""), ""Dharmayudha1"", 0)",,,,14-02-2024 00:35:15,14-02-2024 00:35:17,2.015s,PASSED
"tap(findTestObject(""Object Repository/2 Login dan Checkout/android.widget.Button - LOGIN""), 0)",,,,14-02-2024 00:35:17,14-02-2024 00:35:18,0.672s,PASSED
hideKeyboard(),,,,14-02-2024 00:35:18,14-02-2024 00:35:20,2.429s,PASSED
"setText(findTestObject(""Object Repository/2 Login dan Checkout/android.widget.EditText - Search""), search, 0)",,,,14-02-2024 00:35:20,14-02-2024 00:35:23,3.018s,PASSED
"tap(findTestObject(""Object Repository/2 Login dan Checkout/android.widget.ImageView (1)""), 0)",,,,14-02-2024 00:35:23,14-02-2024 00:35:24,0.749s,PASSED
"tap(findTestObject(""Object Repository/2 Login dan Checkout/android.widget.ImageView (2)""), 0)",,,,14-02-2024 00:35:24,14-02-2024 00:35:27,2.673s,PASSED
delay(5),,,,14-02-2024 00:35:27,14-02-2024 00:35:32,5.057s,PASSED
closeApplication(),,,,14-02-2024 00:35:32,14-02-2024 00:35:34,2.295s,PASSED
Video,,,,14-02-2024 00:35:36,14-02-2024 00:35:36,0.001s,PASSED
,,,,,,,
Test Cases/1 Positive Test Case/3 Search Item - Data Driven,,,,14-02-2024 00:35:36,14-02-2024 00:36:22,45.664s,PASSED
"startApplication(""E:\BFLP IT Batch 9\9. Bootcamp\3. Final Project Mobile\Advantage+demo+3.2.apk"", true)",,,,14-02-2024 00:35:36,14-02-2024 00:35:55,18.548s,PASSED
"tap(findTestObject(""Object Repository/2 Login dan Checkout/android.widget.ImageView""), 0)",,,,14-02-2024 00:35:55,14-02-2024 00:35:57,2.120s,PASSED
"tap(findTestObject(""Object Repository/2 Login dan Checkout/android.widget.LinearLayout""), 0)",,,,14-02-2024 00:35:57,14-02-2024 00:35:58,1.157s,PASSED
"setText(findTestObject(""Object Repository/2 Login dan Checkout/android.widget.EditText""), ""yudhatesting"", 0)",,,,14-02-2024 00:35:58,14-02-2024 00:36:02,3.440s,PASSED
"setText(findTestObject(""Object Repository/2 Login dan Checkout/android.widget.EditText (1)""), ""Dharmayudha1"", 0)",,,,14-02-2024 00:36:02,14-02-2024 00:36:04,2.037s,PASSED
"tap(findTestObject(""Object Repository/2 Login dan Checkout/android.widget.Button - LOGIN""), 0)",,,,14-02-2024 00:36:04,14-02-2024 00:36:04,0.654s,PASSED
hideKeyboard(),,,,14-02-2024 00:36:04,14-02-2024 00:36:07,2.646s,PASSED
"setText(findTestObject(""Object Repository/2 Login dan Checkout/android.widget.EditText - Search""), search, 0)",,,,14-02-2024 00:36:07,14-02-2024 00:36:10,2.921s,PASSED
"tap(findTestObject(""Object Repository/2 Login dan Checkout/android.widget.ImageView (1)""), 0)",,,,14-02-2024 00:36:10,14-02-2024 00:36:11,0.820s,PASSED
"tap(findTestObject(""Object Repository/2 Login dan Checkout/android.widget.ImageView (2)""), 0)",,,,14-02-2024 00:36:11,14-02-2024 00:36:13,2.386s,PASSED
delay(5),,,,14-02-2024 00:36:13,14-02-2024 00:36:18,5.011s,PASSED
closeApplication(),,,,14-02-2024 00:36:18,14-02-2024 00:36:20,1.799s,PASSED
Video,,,,14-02-2024 00:36:22,14-02-2024 00:36:22,0.001s,PASSED
,,,,,,,
Test Cases/1 Positive Test Case/4 Add to Chart,,,,14-02-2024 00:36:22,14-02-2024 00:37:17,55.562s,PASSED
"startApplication(""E:\BFLP IT Batch 9\9. Bootcamp\3. Final Project Mobile\Advantage+demo+3.2.apk"", true)",,,,14-02-2024 00:36:22,14-02-2024 00:36:46,24.042s,PASSED
"tap(findTestObject(""Object Repository/2 Login dan Checkout/android.widget.ImageView""), 0)",,,,14-02-2024 00:36:46,14-02-2024 00:36:48,2.113s,PASSED
"tap(findTestObject(""Object Repository/2 Login dan Checkout/android.widget.LinearLayout""), 0)",,,,14-02-2024 00:36:48,14-02-2024 00:36:49,1.155s,PASSED
"setText(findTestObject(""Object Repository/2 Login dan Checkout/android.widget.EditText""), ""yudhatesting"", 0)",,,,14-02-2024 00:36:49,14-02-2024 00:36:52,3.107s,PASSED
"setText(findTestObject(""Object Repository/2 Login dan Checkout/android.widget.EditText (1)""), ""Dharmayudha1"", 0)",,,,14-02-2024 00:36:52,14-02-2024 00:36:54,1.990s,PASSED
"tap(findTestObject(""Object Repository/2 Login dan Checkout/android.widget.Button - LOGIN""), 0)",,,,14-02-2024 00:36:54,14-02-2024 00:36:55,0.697s,PASSED
hideKeyboard(),,,,14-02-2024 00:36:55,14-02-2024 00:36:58,2.511s,PASSED
"setText(findTestObject(""Object Repository/2 Login dan Checkout/android.widget.EditText - Search""), ""speaker"", 0)",,,,14-02-2024 00:36:58,14-02-2024 00:37:01,3.425s,PASSED
"tap(findTestObject(""Object Repository/2 Login dan Checkout/android.widget.ImageView (1)""), 0)",,,,14-02-2024 00:37:01,14-02-2024 00:37:02,0.733s,PASSED
"tap(findTestObject(""Object Repository/2 Login dan Checkout/android.widget.ImageView (2)""), 0)",,,,14-02-2024 00:37:02,14-02-2024 00:37:04,2.597s,PASSED
"tap(findTestObject(""Object Repository/2 Login dan Checkout/android.widget.Button - ADD TO CART""), 0)",,,,14-02-2024 00:37:04,14-02-2024 00:37:06,1.507s,PASSED
hideKeyboard(),,,,14-02-2024 00:37:06,14-02-2024 00:37:06,0.427s,PASSED
"tap(findTestObject(""Object Repository/2 Login dan Checkout/android.widget.ImageView (3)""), 0)",,,,14-02-2024 00:37:06,14-02-2024 00:37:08,2.188s,PASSED
delay(5),,,,14-02-2024 00:37:08,14-02-2024 00:37:13,5.009s,PASSED
closeApplication(),,,,14-02-2024 00:37:13,14-02-2024 00:37:15,1.857s,PASSED
Video,,,,14-02-2024 00:37:17,14-02-2024 00:37:17,0.001s,PASSED
,,,,,,,
Test Cases/1 Positive Test Case/5 Checkout,,,,14-02-2024 00:37:17,14-02-2024 00:38:12,54.818s,PASSED
"startApplication(""E:\BFLP IT Batch 9\9. Bootcamp\3. Final Project Mobile\Advantage+demo+3.2.apk"", true)",,,,14-02-2024 00:37:18,14-02-2024 00:37:37,19.534s,PASSED
"tap(findTestObject(""Object Repository/4 New Checkout/android.widget.ImageView""), 0)",,,,14-02-2024 00:37:37,14-02-2024 00:37:39,2.089s,PASSED
"tap(findTestObject(""Object Repository/4 New Checkout/android.widget.LinearLayout""), 0)",,,,14-02-2024 00:37:39,14-02-2024 00:37:40,1.288s,PASSED
"setText(findTestObject(""Object Repository/4 New Checkout/android.widget.EditText""), ""yudhatesting2"", 0)",,,,14-02-2024 00:37:40,14-02-2024 00:37:43,2.979s,PASSED
"setText(findTestObject(""Object Repository/4 New Checkout/android.widget.EditText (1)""), ""Dharmayudha2"", 0)",,,,14-02-2024 00:37:43,14-02-2024 00:37:45,1.980s,PASSED
"tap(findTestObject(""Object Repository/4 New Checkout/android.widget.Button - LOGIN""), 0)",,,,14-02-2024 00:37:45,14-02-2024 00:37:46,0.712s,PASSED
hideKeyboard(),,,,14-02-2024 00:37:46,14-02-2024 00:37:48,1.585s,PASSED
"tap(findTestObject(""Object Repository/4 New Checkout/android.widget.ImageView (1)""), 0)",,,,14-02-2024 00:37:48,14-02-2024 00:37:49,0.797s,PASSED
hideKeyboard(),,,,14-02-2024 00:37:49,14-02-2024 00:37:49,0.366s,PASSED
"tap(findTestObject(""Object Repository/4 New Checkout/android.widget.RelativeLayout""), 0)",,,,14-02-2024 00:37:49,14-02-2024 00:37:53,3.769s,PASSED
"tap(findTestObject(""Object Repository/4 New Checkout/android.widget.Button - ADD TO CART""), 0)",,,,14-02-2024 00:37:53,14-02-2024 00:37:54,1.235s,PASSED
hideKeyboard(),,,,14-02-2024 00:37:54,14-02-2024 00:37:54,0.365s,PASSED
"tap(findTestObject(""Object Repository/4 New Checkout/android.widget.ImageView (2)""), 0)",,,,14-02-2024 00:37:54,14-02-2024 00:37:56,1.799s,PASSED
"tap(findTestObject(""Object Repository/4 New Checkout/android.widget.Button - CHECKOUT (PAY 299.99)""), 0)",,,,14-02-2024 00:37:56,14-02-2024 00:37:58,2.312s,PASSED
hideKeyboard(),,,,14-02-2024 00:37:58,14-02-2024 00:37:59,0.381s,PASSED
"tap(findTestObject(""Object Repository/4 New Checkout/android.widget.Button - PAY NOW""), 0)",,,,14-02-2024 00:37:59,14-02-2024 00:38:03,4.194s,PASSED
hideKeyboard(),,,,14-02-2024 00:38:03,14-02-2024 00:38:03,0.363s,PASSED
delay(5),,,,14-02-2024 00:38:03,14-02-2024 00:38:08,5.006s,PASSED
closeApplication(),,,,14-02-2024 00:38:08,14-02-2024 00:38:10,1.839s,PASSED
Video,,,,14-02-2024 00:38:12,14-02-2024 00:38:12,0.001s,PASSED
,,,,,,,
Test Cases/1 Positive Test Case/6 Filter,,,,14-02-2024 00:38:12,14-02-2024 00:38:51,38.829s,PASSED
"startApplication(""E:\BFLP IT Batch 9\9. Bootcamp\3. Final Project Mobile\Advantage+demo+3.2.apk"", true)",,,,14-02-2024 00:38:12,14-02-2024 00:38:34,21.940s,PASSED
hideKeyboard(),,,,14-02-2024 00:38:34,14-02-2024 00:38:35,0.415s,PASSED
"tap(findTestObject(""Object Repository/3 Filter/android.widget.ImageView""), 0)",,,,14-02-2024 00:38:35,14-02-2024 00:38:36,1.798s,PASSED
hideKeyboard(),,,,14-02-2024 00:38:36,14-02-2024 00:38:37,0.387s,PASSED
"tap(findTestObject(""Object Repository/3 Filter/android.widget.LinearLayout""), 0)",,,,14-02-2024 00:38:37,14-02-2024 00:38:37,0.461s,PASSED
"tap(findTestObject(""Object Repository/3 Filter/android.widget.TextView - BY OPERATING SYSTEM""), 0)",,,,14-02-2024 00:38:37,14-02-2024 00:38:41,3.674s,PASSED
"tap(findTestObject(""Object Repository/3 Filter/android.widget.TextView - Windows 10""), 0)",,,,14-02-2024 00:38:41,14-02-2024 00:38:42,1.007s,PASSED
"tap(findTestObject(""Object Repository/3 Filter/android.widget.TextView - APPLY""), 0)",,,,14-02-2024 00:38:42,14-02-2024 00:38:42,0.333s,PASSED
delay(5),,,,14-02-2024 00:38:42,14-02-2024 00:38:47,5.014s,PASSED
closeApplication(),,,,14-02-2024 00:38:47,14-02-2024 00:38:49,1.638s,PASSED
Video,,,,14-02-2024 00:38:51,14-02-2024 00:38:51,0.001s,PASSED
,,,,,,,
Test Cases/1 Positive Test Case/7 Edit Data Checkout,,,,14-02-2024 00:38:51,14-02-2024 00:39:42,50.986s,PASSED
"startApplication(""E:\BFLP IT Batch 9\9. Bootcamp\3. Final Project Mobile\Advantage+demo+3.2.apk"", true)",,,,14-02-2024 00:38:51,14-02-2024 00:39:08,16.963s,PASSED
"tap(findTestObject(""Object Repository/4 New Checkout/android.widget.ImageView""), 0)",,,,14-02-2024 00:39:08,14-02-2024 00:39:10,2.357s,PASSED
"tap(findTestObject(""Object Repository/4 New Checkout/android.widget.LinearLayout""), 0)",,,,14-02-2024 00:39:10,14-02-2024 00:39:12,1.266s,PASSED
"setText(findTestObject(""Object Repository/4 New Checkout/android.widget.EditText""), ""yudhatesting2"", 0)",,,,14-02-2024 00:39:12,14-02-2024 00:39:15,2.948s,PASSED
"setText(findTestObject(""Object Repository/4 New Checkout/android.widget.EditText (1)""), ""Dharmayudha2"", 0)",,,,14-02-2024 00:39:15,14-02-2024 00:39:17,2.008s,PASSED
"tap(findTestObject(""Object Repository/4 New Checkout/android.widget.Button - LOGIN""), 0)",,,,14-02-2024 00:39:17,14-02-2024 00:39:17,0.656s,PASSED
hideKeyboard(),,,,14-02-2024 00:39:17,14-02-2024 00:39:19,1.888s,PASSED
"tap(findTestObject(""Object Repository/4 New Checkout/android.widget.ImageView (1)""), 0)",,,,14-02-2024 00:39:19,14-02-2024 00:39:20,0.591s,PASSED
hideKeyboard(),,,,14-02-2024 00:39:20,14-02-2024 00:39:20,0.387s,PASSED
"tap(findTestObject(""Object Repository/4 New Checkout/android.widget.RelativeLayout""), 0)",,,,14-02-2024 00:39:20,14-02-2024 00:39:25,5.203s,PASSED
"tap(findTestObject(""Object Repository/4 New Checkout/android.widget.Button - ADD TO CART""), 0)",,,,14-02-2024 00:39:25,14-02-2024 00:39:26,0.245s,PASSED
hideKeyboard(),,,,14-02-2024 00:39:26,14-02-2024 00:39:26,0.341s,PASSED
"tap(findTestObject(""Object Repository/4 New Checkout/android.widget.ImageView (2)""), 0)",,,,14-02-2024 00:39:26,14-02-2024 00:39:28,1.876s,PASSED
"tap(findTestObject(""Object Repository/4 New Checkout/android.widget.Button - CHECKOUT (PAY 299.99)""), 0)",,,,14-02-2024 00:39:28,14-02-2024 00:39:29,1.291s,PASSED
hideKeyboard(),,,,14-02-2024 00:39:29,14-02-2024 00:39:30,0.372s,PASSED
"tap(findTestObject(""Object Repository/4 New Checkout/android.widget.Button - PAY NOW""), 0)",,,,14-02-2024 00:39:30,14-02-2024 00:39:33,3.262s,PASSED
hideKeyboard(),,,,14-02-2024 00:39:33,14-02-2024 00:39:33,0.365s,PASSED
delay(5),,,,14-02-2024 00:39:33,14-02-2024 00:39:38,5.008s,PASSED
closeApplication(),,,,14-02-2024 00:39:38,14-02-2024 00:39:40,1.870s,PASSED
Video,,,,14-02-2024 00:39:42,14-02-2024 00:39:42,0.001s,PASSED
